ZCTA,MODZCTA,ZCTA_str,zip_code,Value,Count,modzcta_count,mod_idx,tract,zip,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio,borough
10010.0,10010.0,10010,10010.0,10010 Gramercy Park - Murray Hill (Manhattan),4.0,4.0,89.0,36061006800,10010,NEW YORK,NY,0.629392971246006,0.410179640718562,0.585798816568047,0.600899586676391,MN
10011.0,10011.0,10011,10011.0,10011 Chelsea - Clinton (Manhattan),6.0,6.0,85.0,36061005400,10011,NEW YORK,NY,0.978821612815639,0.813178294573643,0.875586854460093,0.931098351546582,MN
10011.0,10011.0,10011,10011.0,10011 Chelsea - Clinton (Manhattan),6.0,6.0,85.0,36061006300,10011,NEW YORK,NY,1.0,0.99403578528827,1.0,0.999436302142051,MN
10011.0,10011.0,10011,10011.0,10011 Chelsea - Clinton (Manhattan),6.0,6.0,85.0,36061007100,10011,NEW YORK,NY,0.514987604237097,0.147368421052631,0.512038523274478,0.447096774193548,MN
10011.0,10011.0,10011,10011.0,10011 Chelsea - Clinton (Manhattan),6.0,6.0,85.0,36061008100,10011,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10011.0,10011.0,10011,10011.0,10011 Chelsea - Clinton (Manhattan),6.0,6.0,85.0,36061008300,10011,NEW YORK,NY,0.923969465648854,0.881170018281535,0.829875518672199,0.912626138321437,MN
10011.0,10011.0,10011,10011.0,10011 Chelsea - Clinton (Manhattan),6.0,6.0,85.0,36061008700,10011,NEW YORK,NY,0.764114592058971,0.59009628610729,0.987679671457905,0.761659473757482,MN
10011.0,10011.0,10011,10011.0,10011 Chelsea - Clinton (Manhattan),6.0,6.0,85.0,36061008900,10011,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10011.0,10011.0,10011,10011.0,10011 Chelsea - Clinton (Manhattan),6.0,6.0,85.0,36061009100,10011,NEW YORK,NY,0.621218487394957,0.350047303689687,0.540342298288508,0.569868294249919,MN
10011.0,10011.0,10011,10011.0,10011 Chelsea - Clinton (Manhattan),6.0,6.0,85.0,36061009300,10011,NEW YORK,NY,0.761182714177407,0.874626865671641,0.815508021390374,0.769167579408543,MN
