ZCTA,MODZCTA,ZCTA_str,zip_code,Value,Count,modzcta_count,mod_idx,tract,zip,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
10005.0,10005.0,10005,10005.0,10005 Lower Manhattan (Manhattan),18.0,19.0,100.0,36061001502,10005,NEW YORK,NY,0.014448160535117,0.00404858299595141,0.0389610389610389,0.0131160979608566
10006.0,10006.0,10006,10006.0,10006 Lower Manhattan (Manhattan),8.0,8.0,101.0,36061001300,10006,NEW YORK,NY,0.681627620221948,0.607293868921775,0.631229235880398,0.65669014084507
10007.0,10007.0,10007,10007.0,10007 Lower Manhattan (Manhattan),12.0,13.0,102.0,36061001300,10007,NEW YORK,NY,0.0364981504315659,0.182875264270613,0.219269102990033,0.0896286811779769
10007.0,10007.0,10007,10007.0,10007 Lower Manhattan (Manhattan),12.0,13.0,102.0,36061002100,10007,NEW YORK,NY,0.373897510327118,0.588260314759676,0.915662650602409,0.439437574114856
10007.0,10007.0,10007,10007.0,10007 Lower Manhattan (Manhattan),12.0,13.0,102.0,36061002900,10007,NEW YORK,NY,0.0,0.0361041141897565,0.0314606741573033,0.0127774041694687
10007.0,10007.0,10007,10007.0,10007 Lower Manhattan (Manhattan),12.0,13.0,102.0,36061003100,10007,NEW YORK,NY,0.0558789289871944,0.0957446808510638,0.148148148148148,0.0751798561151079
10007.0,10007.0,10007,10007.0,10007 Lower Manhattan (Manhattan),12.0,13.0,102.0,36061003300,10007,NEW YORK,NY,0.103123364159832,0.18312020460358,0.101840490797546,0.1213974826491
10007.0,10007.0,10007,10007.0,10007 Lower Manhattan (Manhattan),12.0,13.0,102.0,36061003900,10007,NEW YORK,NY,0.0,0.00204081632653061,0.0,0.000210570646451884
10007.0,10007.0,10007,10007.0,10007 Lower Manhattan (Manhattan),12.0,13.0,102.0,36061031703,10007,NEW YORK,NY,0.0457059679767103,0.00203252032520325,0.00775193798449612,0.038231780167264
10009.0,10009.0,10009,10009.0,10009 Union Square - Lower East Side (Manhattan),13.0,13.0,98.0,36061002000,10009,NEW YORK,NY,0.879763821792807,0.9,0.875,0.879790026246719
10009.0,10009.0,10009,10009.0,10009 Union Square - Lower East Side (Manhattan),13.0,13.0,98.0,36061002202,10009,NEW YORK,NY,0.988118811881188,0.994652406417112,0.986301369863013,0.988525286867828
10009.0,10009.0,10009,10009.0,10009 Union Square - Lower East Side (Manhattan),13.0,13.0,98.0,36061002400,10009,NEW YORK,NY,1.0,1.0,1.0,1.0
10009.0,10009.0,10009,10009.0,10009 Union Square - Lower East Side (Manhattan),13.0,13.0,98.0,36061002601,10009,NEW YORK,NY,1.0,1.0,1.0,1.0
10009.0,10009.0,10009,10009.0,10009 Union Square - Lower East Side (Manhattan),13.0,13.0,98.0,36061002602,10009,NEW YORK,NY,1.0,1.0,1.0,1.0
10009.0,10009.0,10009,10009.0,10009 Union Square - Lower East Side (Manhattan),13.0,13.0,98.0,36061002800,10009,NEW YORK,NY,1.0,1.0,1.0,1.0
10009.0,10009.0,10009,10009.0,10009 Union Square - Lower East Side (Manhattan),13.0,13.0,98.0,36061003002,10009,NEW YORK,NY,0.914141414141414,0.837837837837837,0.964285714285714,0.914121292607348
10009.0,10009.0,10009,10009.0,10009 Union Square - Lower East Side (Manhattan),13.0,13.0,98.0,36061003200,10009,NEW YORK,NY,1.0,1.0,1.0,1.0
10009.0,10009.0,10009,10009.0,10009 Union Square - Lower East Side (Manhattan),13.0,13.0,98.0,36061003400,10009,NEW YORK,NY,1.0,1.0,1.0,1.0
10009.0,10009.0,10009,10009.0,10009 Union Square - Lower East Side (Manhattan),13.0,13.0,98.0,36061004400,10009,NEW YORK,NY,1.0,1.0,1.0,1.0
10009.0,10009.0,10009,10009.0,10009 Union Square - Lower East Side (Manhattan),13.0,13.0,98.0,36061004800,10009,NEW YORK,NY,0.23540887660543,0.342710997442455,0.00495049504950495,0.228044917938381
10009.0,10009.0,10009,10009.0,10009 Union Square - Lower East Side (Manhattan),13.0,13.0,98.0,36061006000,10009,NEW YORK,NY,0.0,0.117647058823529,0.0701754385964912,0.00221975582685904
10010.0,10010.0,10010,10010.0,10010 Gramercy Park - Murray Hill (Manhattan),4.0,4.0,89.0,36061005000,10010,NEW YORK,NY,0.0765948801300284,0.116207951070336,0.0820895522388059,0.0812980930076948
10010.0,10010.0,10010,10010.0,10010 Gramercy Park - Murray Hill (Manhattan),4.0,4.0,89.0,36061005200,10010,NEW YORK,NY,0.203415369161225,0.185358255451713,0.125698324022346,0.189375172034131
10010.0,10010.0,10010,10010.0,10010 Gramercy Park - Murray Hill (Manhattan),4.0,4.0,89.0,36061005400,10010,NEW YORK,NY,0.0211783871843605,0.186821705426356,0.124413145539906,0.0689016484534172
10010.0,10010.0,10010,10010.0,10010 Gramercy Park - Murray Hill (Manhattan),4.0,4.0,89.0,36061005600,10010,NEW YORK,NY,0.603546738803727,0.767421602787456,0.857707509881422,0.656937394247038
