ZCTA,MODZCTA,ZCTA_str,zip_code,Value,Count,modzcta_count,mod_idx,TRACT,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
10457,10457,10457,10457,10457 Crotona -Tremont (Bronx),3,3,16,36005016700,10457,1,1,1,1
10457,10457,10457,10457,10457 Crotona -Tremont (Bronx),3,3,16,36005016900,10457,0.660436137,0.465517241,0.573529412,0.638020833
10456,10456,10456,10456,10456 High Bridge - Morrisania (Bronx),3,3,20,36005017100,10456,1,1,1,1
10451,10451,10451,10451,,,0,18,36005017300,10451,0.779194898,0.538461538,0.484848485,0.754723837
10456,10456,10456,10456,10456 High Bridge - Morrisania (Bronx),3,3,20,36005017500,10456,1,1,1,1
10456,10456,10456,10456,10456 High Bridge - Morrisania (Bronx),3,3,20,36005017701,10456,1,1,1,1
10456,10456,10456,10456,10456 High Bridge - Morrisania (Bronx),3,3,20,36005017702,10456,0.996350365,0.978494624,0.986928105,0.994708995
10456,10456,10456,10456,10456 High Bridge - Morrisania (Bronx),3,3,20,36005017901,10456,1,1,1,1
10456,10456,10456,10456,10456 High Bridge - Morrisania (Bronx),3,3,20,36005017902,10456,1,1,1,1
10456,10456,10456,10456,10456 High Bridge - Morrisania (Bronx),3,3,20,36005018101,10456,1,1,1,1
10456,10456,10456,10456,10456 High Bridge - Morrisania (Bronx),3,3,20,36005018102,10456,1,1,1,1
10451,10451,10451,10451,,,0,18,36005018301,10451,0.786710037,0.97826087,0.755102041,0.793720017
10456,10456,10456,10456,10456 High Bridge - Morrisania (Bronx),3,3,20,36005018302,10456,0.801857585,0.141935484,0.682539683,0.727272727
10461,10461,10461,10461,10461 Pelham - Throgs Neck (Bronx),1,1,9,36005018400,10461,1,1,1,1
10456,10456,10456,10456,10456 High Bridge - Morrisania (Bronx),3,3,20,36005018500,10456,1,0.948881789,1,0.996705785
10452,10452,10452,10452,10452 High Bridge - Morrisania (Bronx),4,4,19,36005018900,10452,1,1,1,1
10452,10452,10452,10452,10452 High Bridge - Morrisania (Bronx),4,4,19,36005019300,10452,1,1,1,1
10461,10461,10461,10461,10461 Pelham - Throgs Neck (Bronx),1,1,9,36005019400,10461,0.765891473,0.846938776,0.894736842,0.792298716
10452,10452,10452,10452,10452 High Bridge - Morrisania (Bronx),4,4,19,36005019500,10452,1,0.838983051,1,0.993823147
10452,10452,10452,10452,10452 High Bridge - Morrisania (Bronx),4,4,19,36005019700,10452,1,1,1,1
10452,10452,10452,10452,10452 High Bridge - Morrisania (Bronx),4,4,19,36005019900,10452,1,1,1,1
10461,10461,10461,10461,10461 Pelham - Throgs Neck (Bronx),1,1,9,36005020000,10461,1,1,1,1
10452,10452,10452,10452,10452 High Bridge - Morrisania (Bronx),4,4,19,36005020100,10452,1,1,1,1
10461,10461,10461,10461,10461 Pelham - Throgs Neck (Bronx),1,1,9,36005020200,10461,0.566326531,0.514285714,0.483870968,0.55438226
10461,10461,10461,10461,10461 Pelham - Throgs Neck (Bronx),1,1,9,36005020400,10461,0.739087302,0.642857143,0.756345178,0.737509913
10453,10453,10453,10453,10453 Crotona -Tremont (Bronx),73,73,15,36005020501,10453,1,1,1,1
10453,10453,10453,10453,10453 Crotona -Tremont (Bronx),73,73,15,36005020502,10453,1,1,1,1
10462,10462,10462,10462,10462 Pelham - Throgs Neck (Bronx),2,2,10,36005020601,10462,1,1,1,1
10452,10452,10452,10452,10452 High Bridge - Morrisania (Bronx),4,4,19,36005020900,10452,1,1,1,1
10462,10462,10462,10462,10462 Pelham - Throgs Neck (Bronx),2,2,10,36005021001,10462,1,1,1,1
10462,10462,10462,10462,10462 Pelham - Throgs Neck (Bronx),2,2,10,36005021002,10462,1,1,1,1
10452,10452,10452,10452,10452 High Bridge - Morrisania (Bronx),4,4,19,36005021100,10452,1,1,1,1
