Unnamed: 0,tract,zip,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio,FIPS,ZCTA,MODZCTA,ZCTA_str,zip_tai,Tai_idx,mods,mod_idx
101,36005013100,10459,BRONX,NY,0.965979381,0.987654321,0.948553055,0.964408233,36005,10459,10459,10459,10459.0,23,10459,23
102,36005013200,10465,BRONX,NY,1.0,1.0,1.0,1.0,36005,10465,10465,10465,10465.0,12,10465,12
104,36005013300,10456,BRONX,NY,0.833188908,0.590909091,0.706666667,0.824886691,36005,10456,10456,10456,10456.0,20,10456,20
105,36005013500,10456,BRONX,NY,0.888419783,0.761904762,0.733333333,0.874248223,36005,10456,10456,10456,10456.0,20,10456,20
107,36005013800,10465,BRONX,NY,1.0,1.0,1.0,1.0,36005,10465,10465,10465,10465.0,12,10465,12
109,36005014100,10451,BRONX,NY,0.947217806,0.97029703,0.875776398,0.944525976,36005,10451,10451,10451,10451.0,18,10451,18
110,36005014300,10451,BRONX,NY,0.680628272,0.318181818,0.333333333,0.633371169,36005,10451,10451,10451,10451.0,18,10451,18
112,36005014400,10465,BRONX,NY,1.0,1.0,1.0,1.0,36005,10465,10465,10465,10465.0,12,10465,12
113,36005014500,10456,BRONX,NY,1.0,1.0,1.0,1.0,36005,10456,10456,10456,10456.0,20,10456,20
114,36005014701,10456,BRONX,NY,1.0,1.0,1.0,1.0,36005,10456,10456,10456,10456.0,20,10456,20
116,36005014702,10456,BRONX,NY,0.946448087,1.0,0.947368421,0.947145877,36005,10456,10456,10456,10456.0,20,10456,20
117,36005014900,10456,BRONX,NY,1.0,1.0,1.0,1.0,36005,10456,10456,10456,10456.0,20,10456,20
119,36005015100,10456,BRONX,NY,0.565964523,0.702970297,0.46474359,0.557961209,36005,10456,10456,10456,10456.0,20,10456,20
120,36005015200,10465,BRONX,NY,1.0,1.0,1.0,1.0,36005,10465,10465,10465,10465.0,12,10465,12
121,36005015300,10459,BRONX,NY,0.629164048,0.377358491,0.848039216,0.646103896,36005,10459,10459,10459,10459.0,23,10459,23
123,36005015500,10460,BRONX,NY,1.0,1.0,1.0,1.0,36005,10460,10460,10460,10460.0,17,10460,17
125,36005015700,10460,BRONX,NY,1.0,0.880952381,1.0,0.998139881,36005,10460,10460,10460,10460.0,17,10460,17
126,36005015800,10465,BRONX,NY,1.0,1.0,1.0,1.0,36005,10465,10465,10465,10465.0,12,10465,12
127,36005015900,10459,BRONX,NY,1.0,1.0,1.0,1.0,36005,10459,10459,10459,10459.0,23,10459,23
128,36005016000,10465,BRONX,NY,1.0,1.0,1.0,1.0,36005,10465,10465,10465,10465.0,12,10465,12
129,36005016100,10460,BRONX,NY,1.0,1.0,1.0,1.0,36005,10460,10460,10460,10460.0,17,10460,17
130,36005016200,10465,BRONX,NY,1.0,1.0,1.0,1.0,36005,10465,10465,10465,10465.0,12,10465,12
132,36005016300,10456,BRONX,NY,1.0,0.0,0.5,0.739130435,36005,10456,10456,10456,10456.0,20,10456,20
133,36005016400,10465,BRONX,NY,1.0,1.0,1.0,1.0,36005,10465,10465,10465,10465.0,12,10465,12
134,36005016500,10457,BRONX,NY,1.0,1.0,1.0,1.0,36005,10457,10457,10457,10457.0,16,10457,16
136,36005016600,10465,BRONX,NY,1.0,0.986666667,1.0,0.998933902,36005,10465,10465,10465,10465.0,12,10465,12
137,36005016700,10457,BRONX,NY,1.0,1.0,1.0,1.0,36005,10457,10457,10457,10457.0,16,10457,16
139,36005016900,10457,BRONX,NY,0.636666667,0.465517241,0.613333333,0.620736698,36005,10457,10457,10457,10457.0,16,10457,16
140,36005017100,10456,BRONX,NY,1.0,1.0,1.0,1.0,36005,10456,10456,10456,10456.0,20,10456,20
142,36005017300,10451,BRONX,NY,0.781098546,0.538461538,0.488764045,0.755124451,36005,10451,10451,10451,10451.0,18,10451,18
143,36005017500,10456,BRONX,NY,1.0,1.0,1.0,1.0,36005,10456,10456,10456,10456.0,20,10456,20
