MODZCTA,weighted_no_health_insurance,weighted_No_vehicle,weighted_Household_num,weighted_household_income_mean,weighted_Bachelor,weighted_Population,weighted_estimated_average_age_mean,weighted_Black,weighted_Hispanic,median_median_age
10307.0,788.8165261325876,321.3546057545474,5095.097364464754,120432.53131351166,2256.7151731750005,15555.168771985846,37.96807543226901,20.57355322177003,1817.6264673324313,42.1
10308.0,723.8376155538956,841.9954361015579,9966.720040153225,111716.54719519959,4957.542758278471,30265.177180504244,40.74246248477863,351.27598169967115,3443.2417814351215,44.55
10309.0,299.0139063907427,289.5949875184621,6277.346358478964,108253.98398175299,3099.9620312584398,19850.45604817159,38.78312171177376,71.53639185554545,1480.6855066820365,42.55
10310.0,1064.4399250431009,1503.161078704363,6915.043446156431,88722.0565173223,2409.335157578861,23275.242871813898,38.170607352787485,4450.957629997727,6082.85115284,40.2
10312.0,1046.4170421536921,1058.864351704225,15826.366418382348,111333.67817623097,7266.485567435198,49316.468042488166,38.87983599691159,417.0969978656273,5572.5457832442535,43.575
10314.0,3340.393580505972,2700.3453141393957,26050.586889389273,94033.69704311732,12117.40643013929,82461.11780633367,39.201483816055685,2741.3487674904736,12326.877931046898,44.1
10451.0,2696.700813956857,13496.948195119452,17769.008597349344,33821.87648107738,3870.8551172030798,65522.4603321322,36.23382019620187,18857.918113743555,26081.94061815624,33.85
10452.0,5853.59327271593,22359.557163006833,28028.140698010524,35033.31947088117,5406.556778289844,124036.63861412412,34.592653219238954,27083.82067260406,54052.81757814746,32.65
10453.0,8000.10537451847,20613.080777494353,28223.864010555117,35656.97596306032,5478.963703709078,132017.98584631665,34.2510784341732,26239.764402426204,57434.155529549986,34.125
10454.0,3638.9829301301816,9854.425254531805,12938.968587363608,20554.996571590185,1639.39012792881,55836.774547219946,34.37722800909377,10886.922794600252,25260.94357444791,31.6
10455.0,3508.6525560730793,11863.687701690915,16115.36249653256,31767.82675720779,3084.0303124075763,69662.11857598608,33.58687293225591,15062.497860819572,31636.9800777842,31.724999999999998
10456.0,7853.930031632387,21781.377211280866,28897.92055474691,33753.34511843743,4246.105630706922,120470.45165397711,34.226081669231725,39636.28178739289,46758.73578449507,33.2
10457.0,7261.410500928832,17791.95187970978,25150.28244715061,38573.32029948605,4907.091176100199,115655.48725391371,32.76839116608778,34550.065181117374,50322.60067408986,30.95
10458.0,8213.406904512522,19644.115787674127,27301.219681107563,39636.78715246264,4659.642637667256,135194.54963056446,32.65776244707448,13968.628642046733,59206.257526235924,31.075000000000003
10459.0,4062.190037598036,11752.39321726575,17660.445755633078,33808.120404569774,3278.8515569417996,79750.13209247644,35.63105595991513,16985.42027105094,34707.15540530325,34.05
10460.0,4378.1088742903685,14178.544624844542,20574.458968587893,34754.408920312264,4035.602058585944,88421.9842790603,34.63737936787273,20774.084426644353,37649.64522688769,33.925
10461.0,3073.0617497628837,6994.852165698238,18933.27187426963,65354.189108886654,6370.180198182663,69546.61651812066,38.17995328697772,4916.29857992038,26034.720550680737,39.9
10462.0,4979.177358618979,16185.016429419207,30096.713878192313,58405.33910904597,9672.3427836351,110834.18087455984,36.37485374869014,19941.330162047994,38363.74418017575,36.3
10463.0,3465.7888923007513,14399.968551661794,30277.982080207163,72517.3161784959,11068.804188696568,104456.52568257567,41.11031362546481,12962.943552389359,39727.97696892158,42.65
10464.0,2.190604026845628,4.155704697986558,18.79731543624153,104190.0,7.554362416107349,68.84295302013392,38.8768132896584,34.50201342281864,18.57181208053683,44.9
10465.0,1592.1961821765742,3803.3352007469653,16181.670816474738,78607.99648470456,5136.372860255213,60082.93972403776,37.55355799337556,6276.274924784729,20815.314036725802,40.8
