ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,RESTAURANT_COUNT,GROCERY_COUNT,EDUCATION_COUNT,ENTERTAINMENT_COUNT,HEALTHCARE_COUNT,RETAIL_COUNT,OTHER_COUNT,GROCERY_VISIT_PERCENT,HOUSEHOLD_SIZE,HOUSEHOLD_INCOME,BLACK,HISPANIC,AGE65_PLUS,BACHELOR_S,COVID_CASE_COUNT,COVID_CASE_RATE,COVID_DEATH_COUNT,COVID_DEATH_RATE,NO_HEALTH_INSURANCE
10301,0,Staten Island,36342,105182712.6,NY,Richmond,36,85,186,27,34,54,209,117,487,0.049,2.51,70065,8300,9448,6144,5430,1541,3960.93,109,280.17,0.054685655
10303,0,Staten Island,27043,81629773.52,NY,Richmond,36,85,66,15,9,23,28,69,288,0.05,3.19,70315,8918,10853,2946,3053,1044,3937.75,48,181.05,0.095914041
11234,0,Brooklyn,90178,206201040.1,NY,Kings,36,47,259,46,40,89,351,373,988,0.071,2.8,84116,40921,9795,17015,13641,2873,3054.56,196,208.39,0.130640693
10302,0,Staten Island,17798,29555323.02,NY,Richmond,36,85,104,27,11,18,33,97,303,0.052,2.98,72394,4584,6785,1929,2258,778,4208.82,32,173.11,0.089147171
11693,0,Far Rockaway,12757,46471727.17,NY,Queens,36,81,0,0,0,0,0,0,0,0.039,2.45,52946,2813,3713,2105,1554,397,3132.86,29,228.85,0.049892959
11209,0,Brooklyn,67914,57842313.96,NY,Kings,36,47,505,75,45,68,689,323,1175,0.056,2.33,79524,2845,12163,12079,14415,1583,2344.68,120,177.74,0.081379446
10304,0,Staten Island,40584,98226679.8,NY,Richmond,36,85,139,20,21,30,230,89,424,0.046,2.72,64394,11931,9542,6058,5851,1754,4187.47,182,434.5,0.058943936
10314,0,Staten Island,88651,473985727.1,NY,Richmond,36,85,313,43,69,107,481,397,1010,0.028,2.83,90306,3300,13674,16343,14128,3455,3734.17,205,221.56,0.024675663
11228,0,Brooklyn,43699,43893024.73,NY,Kings,36,47,99,35,25,25,161,92,386,0.052,2.82,76278,603,5323,8405,7585,916,2036.32,89,197.85,0.081414887
11096,0,Inwood,8146,1512446.305,NY,Queens,36,81,0,0,0,0,0,0,3,,3.18,59943,1770,3740,990,648,,,,,
10305,0,Staten Island,42176,111441829.3,NY,Richmond,36,85,156,16,27,47,212,111,425,0.036,2.74,77136,2889,6164,7449,6732,1636,3817.42,82,191.34,0.055675156
11229,0,Brooklyn,81646,60119326.14,NY,Kings,36,47,261,80,81,53,551,265,877,0.052,2.63,66332,5260,7984,16248,13490,2430,2909.08,158,189.15,0.111220398
11214,0,Brooklyn,89364,61096539.39,NY,Kings,36,47,379,87,54,61,240,267,848,0.063,2.82,57639,1820,15975,15311,13252,2143,2308.91,191,205.79,0.093742265
11691,0,Far Rockaway,65941,83927815.11,NY,Queens,36,81,77,33,41,19,151,54,383,0.049,3.12,52605,31620,16089,9093,6117,3209,4799.85,379,566.89,0.076919996
11096,0,Inwood,8146,111973.734,NY,Queens,36,81,0,0,0,0,0,0,3,,3.18,59943,1770,3740,990,648,,,,,
11223,0,Brooklyn,80402,58702923.47,NY,Kings,36,47,352,98,46,63,267,367,997,0.099,2.9,56908,4289,10787,12809,10759,2952,3622.46,145,177.93,0.112097794
11693,0,Far Rockaway,12757,1527599.164,NY,Queens,36,81,0,0,0,0,0,0,0,0.039,2.45,52946,2813,3713,2105,1554,397,3132.86,29,228.85,0.049892959
11692,0,Arverne,21354,23992395.38,NY,Queens,36,81,20,11,6,11,13,17,112,0.035,2.88,53077,12579,5621,3175,2335,760,3614.03,95,451.75,0.06054347
11235,0,Brooklyn,75594,69053803.03,NY,Kings,36,47,308,69,74,88,483,299,924,0.066,2.33,56308,1687,6618,18720,15813,2809,3592.18,311,397.71,0.086913862
11693,0,Far Rockaway,12757,12270916.53,NY,Queens,36,81,4,0,0,0,0,0,0,0.039,2.45,52946,2813,3713,2105,1554,397,3132.86,29,228.85,0.049892959
10306,0,Staten Island,53749,174102872,NY,Richmond,36,85,203,21,48,63,320,169,539,0.036,2.73,83309,1874,9464,10009,7052,1915,3626.43,84,159.07,0.042476538
11694,0,Rockaway Park,19854,48101606.61,NY,Queens,36,81,75,9,16,24,73,38,225,0.041,2.46,87755,1234,4115,3900,3648,864,4157.96,90,433.12,0.039164255
11224,0,Brooklyn,44313,46701983.75,NY,Kings,36,47,144,30,22,61,81,103,323,0.114,2.3,35776,9402,9256,13145,6732,1588,3431.97,220,475.46,0.087046836
10308,0,Staten Island,28856,62751041.82,NY,Richmond,36,85,90,10,17,31,80,53,190,0.04,2.82,110478,463,2692,4997,4926,888,2977.79,29,97.25,0.029735735
11697,0,Breezy Point,3522,59789760.62,NY,Queens,36,81,12,2,0,6,14,4,20,0.048,2.72,116205,21,278,791,649,131,3861.33,5,147.38,0.005912162
10312,0,Staten Island,61034,169087432.9,NY,Richmond,36,85,98,9,26,45,308,76,326,0.044,2.89,96785,590,7354,10411,9404,2028,3321.72,62,101.55,0.04679554
10309,0,Staten Island,33699,215835793.5,NY,Richmond,36,85,121,16,25,66,89,147,431,0.022,2.87,102730,200,2968,5560,5300,1117,3391.06,33,100.18,0.03046595
10307,0,Staten Island,15007,46028382.63,NY,Richmond,36,85,46,4,7,21,24,35,166,0.025,2.96,108808,17,1339,2087,2766,516,3460.26,15,100.59,0.034696073
10280,0,New York,9372,2234114.007,NY,New York,36,61,25,6,7,13,14,14,69,0.071,2.07,170385,55,1082,758,3019,73,781.06,0,0,0.027788474
11372,0,Jackson Heights,62813,20163283.87,NY,Queens,36,81,403,76,51,29,284,355,929,0.061,2.63,61239,1678,34248,9085,8176,3098,5105.24,265,436.7,0.133943336
11004,0,Glen Oaks,14467,22606526.91,NY,Queens,36,81,52,8,7,6,34,29,114,0.086,3.01,97845,752,1850,3511,2993,699,3688.75,69,364.13,0.06227142
11040,0,New Hyde Park,41488,6269333.412,NY,Queens,36,81,3,0,1,0,0,0,2,,3.17,132767,364,5428,8126,8929,,,,,
11426,0,Bellerose,20113,49609163.54,NY,Queens,36,81,63,9,18,15,51,34,173,0.066,3.2,102770,1219,3977,4075,3456,602,2985.58,34,168.62,0.091524617
11365,0,Fresh Meadows,43706,69385865.59,NY,Queens,36,81,82,19,27,32,137,73,334,0.104,2.78,70102,3914,8721,7639,7686,1094,2496.86,69,157.48,0.050798853
11001,0,Floral Park,26500,9155180.263,NY,Queens,36,81,5,3,2,0,8,4,24,,3.03,124949,1447,3604,4789,5582,,,,,
11375,0,Forest Hills,72175,55587771.83,NY,Queens,36,81,327,69,73,91,700,233,1270,0.047,2.22,88117,2363,11066,14312,19144,1911,2681.48,186,260.99,0.163601353
11427,0,Queens Village,24201,39435767.42,NY,Queens,36,81,37,8,8,6,73,25,161,0.064,3.12,81688,5452,5200,5339,3839,928,3936.74,54,229.08,0.04885618
11374,0,Rego Park,43131,25203558.58,NY,Queens,36,81,145,34,32,33,316,118,612,0.056,2.26,75266,1882,7897,8288,10677,1445,3490.87,101,244,0.153234377
11366,0,Fresh Meadows,13893,20358592.75,NY,Queens,36,81,60,11,13,2,58,32,213,0.069,3.08,91795,823,1574,2508,2541,488,3434.65,30,211.15,0.082264378
11423,0,Hollis,29099,45095032.1,NY,Queens,36,81,68,19,12,16,101,63,358,0.063,2.96,70990,11223,4025,5204,4612,1304,4187.75,108,346.84,0.060812392
11428,0,Queens Village,19811,21927545.49,NY,Queens,36,81,64,15,10,6,41,33,206,0.075,3.24,77466,3888,4774,4087,2319,777,4181.71,55,296,0.072219432
11432,0,Jamaica,59683,60177575.64,NY,Queens,36,81,275,62,69,34,289,297,831,0.051,3.18,66270,11532,13382,10123,9992,2329,3833.45,260,427.95,0.064927931
11379,0,Middle Village,37430,57622817.05,NY,Queens,36,81,107,22,17,21,88,88,455,0.057,2.76,89700,377,7983,7250,6298,1035,2825.05,102,278.41,0.129020897
11429,0,Queens Village,27669,39559398.28,NY,Queens,36,81,39,24,16,17,33,45,309,0.059,3.46,82532,19879,3990,5066,3376,1139,3540.75,76,236.26,0.063415072
11435,0,Jamaica,58191,42105899.16,NY,Queens,36,81,176,48,20,20,93,139,725,0.055,3.01,69873,15490,18296,7627,8311,2026,3468.28,151,258.5,0.111732183
11415,0,Kew Gardens,18379,16802279.51,NY,Queens,36,81,57,18,10,11,92,43,294,0.056,2.34,75476,959,4463,2852,3687,691,3661.31,53,280.82,0.037201821
11418,0,Richmond Hill,37066,32025130.92,NY,Queens,36,81,143,43,29,17,155,119,636,0.058,3.29,73856,3041,16348,4987,4730,1360,3618.41,106,282.02,0.079948686
11433,0,Jamaica,36776,47739432.6,NY,Queens,36,81,85,30,22,21,52,160,532,0.046,3.45,62453,22808,5332,4872,3167,1133,3102.25,82,224.52,0.102168636
11451,0,Jamaica,0,487599.7268,NY,Queens,36,81,0,0,1,1,0,0,1,,NA,NA,0,0,0,0,,,,,
11221,0,Brooklyn,84261,38580480.43,NY,Kings,36,47,252,95,46,45,108,130,1218,0.074,2.55,65548,37775,28937,8800,14021,1789,2196.69,151,185.41,0.071682392
11421,0,Woodhaven,39625,24314441.76,NY,Queens,36,81,131,40,19,5,68,68,349,0.054,3.5,77738,2270,23166,5101,4926,1486,3710.41,103,257.18,0.090110735
11419,0,South Richmond Hill,47895,31278858.1,NY,Queens,36,81,133,57,25,9,141,170,533,0.062,3.83,79589,6522,8857,7328,4980,1463,3016.19,99,204.1,0.11506254
11434,0,Jamaica,60488,87379704.16,NY,Queens,36,81,158,38,30,21,93,106,616,0.054,2.81,65845,52093,5910,9569,6558,2394,3585.8,201,301.06,0.114678115
11216,0,Brooklyn,58894,26478229.26,NY,Kings,36,47,350,77,32,55,105,221,1146,0.047,2.29,77343,30377,7315,6611,14737,1032,1882.34,76,138.62,0.100893486
11416,0,Ozone Park,26002,18854849.8,NY,Queens,36,81,76,21,16,16,45,78,379,0.068,3.51,73471,1413,12016,3400,2726,931,3527.9,58,219.78,0.071905443
11233,0,Brooklyn,77998,37871693.68,NY,Kings,36,47,193,72,43,37,68,89,959,0.126,2.45,48278,58859,12480,9186,10488,1622,2182.35,143,192.4,0.045849983
10055,1,New York,,37223.53879,NY,New York,36,61,0,0,1,0,0,2,2,,,,,,,,,,,,
10019,0,New York,45046,18828383.12,NY,New York,36,61,1122,48,109,239,1201,828,2519,0.067,1.65,101651,2453,8011,7850,14714,827,1900.17,43,98.8,0.038680348
10111,0,New York,0,103066.2533,NY,New York,36,61,4,0,1,2,46,8,19,,NA,NA,0,0,0,0,,,,,
10153,1,New York,0,80339.64723,NY,New York,36,61,3,0,0,0,0,5,14,,NA,NA,0,0,0,0,,,,,
10154,1,New York,0,79148.80239,NY,New York,36,61,2,0,2,2,0,3,19,,NA,NA,0,0,0,0,,,,,
10152,1,New York,0,59924.99827,NY,New York,36,61,4,1,2,0,0,3,36,,NA,NA,0,0,0,0,,,,,
10115,0,New York,0,71720.11547,NY,New York,36,61,1,0,2,3,1,1,45,,NA,NA,0,0,0,0,,,,,
10022,0,New York,30991,12728335.62,NY,New York,36,61,823,28,81,208,1246,988,2864,0.126,1.72,138661,435,3069,8911,9927,501,1621.56,33,106.81,0.02283188
11370,0,Bronx,22657,18190205.19,NY,Bronx,36,5,0,0,0,0,0,0,10,0.049,3,67582,4374,10689,3988,3158,1568,4934.33,65,204.55,0.236361178
10065,0,New York,30037,11442579.55,NY,New York,36,61,356,20,56,91,1733,472,1029,0.077,1.91,153002,636,2385,6090,9416,460,1648.8,28,100.36,0.024042354
10075,0,New York,22083,4809654.276,NY,New York,36,61,135,14,19,35,340,180,493,0.167,1.83,123854,457,3710,6422,6231,534,2317.26,47,203.95,0.046422082
10069,0,New York,6504,2372365.889,NY,New York,36,61,13,4,5,11,19,18,79,0.136,2.09,130556,315,1095,604,1467,94,1495.73,2,31.82,0.025152172
10281,0,New York,,955857.8219,NY,New York,36,61,2,0,0,0,0,2,4,,,,,,,,,,,,
10282,0,New York,6086,1562844.987,NY,New York,36,61,16,3,5,13,11,12,33,0.057,2.44,250001,139,639,270,1563,92,1651.13,14,251.26,0.013588414
11211,0,Brooklyn,103818,40470881.67,NY,Kings,36,47,583,102,73,104,166,447,1625,0.069,2.54,90871,6567,25035,9243,23349,2999,2949.83,141,138.69,0.070287878
11373,0,Elmhurst,95951,42654860.34,NY,Queens,36,81,520,101,63,43,376,367,1075,0.055,3.07,56835,1702,40303,12867,13970,3890,4244.14,299,326.22,0.078577899
10279,1,New York,96,28664.70581,NY,New York,36,61,2,0,0,1,19,1,12,,2.4,NA,0,0,0,0,,,,,
10165,1,New York,0,40779.8152,NY,New York,36,61,4,0,4,2,38,14,111,,NA,NA,0,0,0,0,,,,,
10168,1,New York,0,27810.12206,NY,New York,36,61,10,0,4,1,21,14,87,,NA,NA,0,0,0,0,,,,,
10105,1,New York,,35422.15675,NY,New York,36,61,2,0,0,0,0,0,0,,,,,,,,,,,,
10118,1,New York,,91733.71537,NY,New York,36,61,0,0,0,0,0,1,0,,,,,,,,,,,,
10176,1,New York,,18289.08973,NY,New York,36,61,4,1,4,1,1,9,37,,,,,,,,,,,,
10170,1,New York,0,61793.17513,NY,New York,36,61,5,3,3,6,9,10,127,,NA,NA,0,0,0,0,,,,,
10112,1,New York,0,164078.1678,NY,New York,36,61,28,2,0,6,4,36,22,,NA,NA,0,0,0,0,,,,,
10122,1,New York,,23294.6381,NY,New York,36,61,3,0,0,1,0,2,5,,,,,,,,,,,,
10107,1,New York,,23030.1759,NY,New York,36,61,0,0,0,1,0,0,2,,,,,,,,,,,,
10103,1,New York,0,62713.25341,NY,New York,36,61,7,0,0,1,0,8,12,,NA,NA,0,0,0,0,,,,,
10174,1,New York,0,44203.22555,NY,New York,36,61,3,0,4,2,24,13,72,,NA,NA,0,0,0,0,,,,,
10166,1,New York,,110438.6232,NY,New York,36,61,0,0,0,0,0,1,3,,,,,,,,,,,,
10169,1,New York,0,66246.34637,NY,New York,36,61,32,1,1,1,13,3,59,,NA,NA,0,0,0,0,,,,,
10167,1,New York,0,80926.18724,NY,New York,36,61,8,1,2,1,4,8,54,,NA,NA,0,0,0,0,,,,,
10177,1,New York,0,24688.0511,NY,New York,36,61,1,0,0,0,3,1,18,,NA,NA,0,0,0,0,,,,,
10172,1,New York,0,79589.1001,NY,New York,36,61,4,1,0,2,4,3,21,,NA,NA,0,0,0,0,,,,,
10171,1,New York,0,23525.08592,NY,New York,36,61,4,0,2,0,0,1,20,,NA,NA,0,0,0,0,,,,,
10270,1,New York,,31255.80043,NY,New York,36,61,6,2,0,1,1,0,1,,,,,,,,,,,,
10104,1,New York,,89721.85255,NY,New York,36,61,8,0,1,0,18,2,6,,,,,,,,,,,,
10271,1,New York,0,49236.8772,NY,New York,36,61,4,0,0,2,3,2,48,,NA,NA,0,0,0,0,,,,,
10110,1,New York,0,21249.06352,NY,New York,36,61,2,1,1,2,1,8,43,,NA,NA,0,0,0,0,,,,,
10175,1,New York,,18685.39453,NY,New York,36,61,0,0,0,0,0,0,1,,,,,,,,,,,,
