MODZCTA,score_mean,score_median,score_std,gain_bias_mean,gain_bias_median,gain_bias_std,loss_bias_mean,loss_bias_median,loss_bias_std,loss_aversion_scores_mean,loss_aversion_scores_median,loss_aversion_scores_std,rescale_avail_mean,rescale_avail_median,rescale_avail_std,rescale_realistic_mean,rescale_realistic_median,rescale_realistic_std,agency_mean,agency_median,agency_std,regulated_tdscores_mean,regulated_tdscores_median,regulated_tdscores_std,regulated_agency_mean,regulated_agency_median,regulated_agency_std,regulated_loss_mean,regulated_loss_median,regulated_loss_std,modzcta_count
10032,9.454545454545455,9.0,3.3871414603950734,1.7272727272727273,2.0,1.1037127426019047,0.9090909090909091,1.0,0.9438798074485389,2.6363636363636362,3.0,1.2862913567871996,6.558441558441558,7.0,5.6281820570153425,4.128427128427128,4.0,4.611549330571234,10.686868686868687,11.0,9.991571380922526,59.09090909090909,56.25,21.169634127469212,66.69823232323232,67.1875,15.611830282691448,43.939393939393945,50.0,21.43818927978666,11.0
10033,10.0,10.0,,3.0,3.0,,3.0,3.0,,6.0,6.0,,5.0,5.0,,0.0,0.0,,5.0,5.0,,62.5,62.5,,57.8125,57.8125,,100.0,100.0,,1.0
10035,11.0,11.0,,2.0,2.0,,1.0,1.0,,3.0,3.0,,5.0,5.0,,2.0,2.0,,7.0,7.0,,68.75,68.75,,60.9375,60.9375,,50.0,50.0,,1.0
10037,8.0,8.0,,0.0,0.0,,2.0,2.0,,2.0,2.0,,2.6666666666666665,2.6666666666666665,,2.6666666666666665,2.6666666666666665,,5.333333333333333,5.333333333333333,,50.0,50.0,,58.333333333333336,58.333333333333336,,33.333333333333336,33.333333333333336,,1.0
10039,13.0,13.0,,3.0,3.0,,3.0,3.0,,6.0,6.0,,6.0,6.0,,7.0,7.0,,13.0,13.0,,81.25,81.25,,70.3125,70.3125,,100.0,100.0,,1.0
10040,13.0,12.0,2.449489742783178,2.6,3.0,0.5477225575051661,2.0,2.0,0.0,4.6,5.0,0.5477225575051661,5.838095238095238,7.0,4.917182608695374,3.3365079365079366,4.571428571428571,7.163254826033755,9.174603174603174,14.0,11.739637899423228,81.25,75.0,15.309310892394864,64.33531746031746,71.875,18.343184217848794,76.66666666666666,83.33333333333333,9.128709291752761,5.0
10044,5.0,5.0,,3.0,3.0,,3.0,3.0,,6.0,6.0,,4.0,4.0,,1.0,1.0,,5.0,5.0,,31.25,31.25,,57.8125,57.8125,,100.0,100.0,,1.0
10065,16.0,16.0,,2.0,2.0,,0.0,0.0,,2.0,2.0,,16.0,16.0,,16.0,16.0,,32.0,32.0,,100.0,100.0,,100.0,100.0,,33.333333333333336,33.333333333333336,,1.0
10069,8.0,8.0,,3.0,3.0,,2.0,2.0,,5.0,5.0,,2.0,2.0,,-3.0,-3.0,,-1.0,-1.0,,50.0,50.0,,48.4375,48.4375,,83.33333333333333,83.33333333333333,,1.0
10075,8.0,8.0,,2.0,2.0,,1.0,1.0,,3.0,3.0,,15.0,15.0,,12.0,12.0,,27.0,27.0,,50.0,50.0,,92.1875,92.1875,,50.0,50.0,,1.0
10128,9.0,9.0,,2.0,2.0,,2.0,2.0,,4.0,4.0,,16.0,16.0,,8.0,8.0,,24.0,24.0,,56.25,56.25,,87.5,87.5,,66.66666666666667,66.66666666666667,,1.0
10282,9.0,9.0,,0.0,0.0,,1.0,1.0,,1.0,1.0,,1.7777777777777777,1.7777777777777777,,3.5555555555555554,3.5555555555555554,,5.333333333333333,5.333333333333333,,56.25,56.25,,58.333333333333336,58.333333333333336,,16.666666666666668,16.666666666666668,,1.0
10301,9.0,9.0,,1.0,1.0,,3.0,3.0,,4.0,4.0,,-6.0,-6.0,,-8.0,-8.0,,-14.0,-14.0,,56.25,56.25,,28.125,28.125,,66.66666666666667,66.66666666666667,,1.0
10302,10.473684210526315,10.0,3.0617428053068,2.210526315789474,2.0,0.9176629354822472,1.5789473684210527,2.0,0.901590537370498,3.789473684210526,4.0,1.2727462594467418,6.7710944026733495,8.0,3.853266339321316,4.252297410192147,5.0,3.962146604399843,11.023391812865498,10.285714285714285,7.243870047769694,65.46052631578948,62.5,19.135892533167503,67.22404970760233,66.07142857142857,11.318546949640147,63.1578947368421,66.66666666666667,21.212437657445694,19.0
10303,6.0,6.0,,0.0,0.0,,3.0,3.0,,3.0,3.0,,15.11111111111111,15.11111111111111,,9.777777777777779,9.777777777777779,,24.88888888888889,24.88888888888889,,37.5,37.5,,88.88888888888889,88.88888888888889,,50.0,50.0,,1.0
10304,11.030303030303031,11.0,2.931348329745721,2.0303030303030303,2.0,0.9180430438182244,1.6363636363636365,2.0,1.1406736446663277,3.6666666666666665,4.0,1.2416387021459452,5.037037037037037,6.0,6.191508443986759,3.2760942760942764,4.0,6.056459058273699,8.313131313131313,11.0,11.68863151585302,68.93939393939394,68.75,18.32092706091076,62.98926767676768,67.1875,18.26348674352034,61.111111111111114,66.66666666666667,20.69397836909908,33.0
10305,11.0,11.0,,2.0,2.0,,3.0,3.0,,5.0,5.0,,5.0,5.0,,5.0,5.0,,10.0,10.0,,68.75,68.75,,65.625,65.625,,83.33333333333333,83.33333333333333,,1.0
10306,4.0,4.0,,0.0,0.0,,2.0,2.0,,2.0,2.0,,15.11111111111111,15.11111111111111,,8.88888888888889,8.88888888888889,,24.0,24.0,,25.0,25.0,,87.5,87.5,,33.333333333333336,33.333333333333336,,1.0
10310,9.5,9.5,0.7071067811865476,1.0,1.0,1.4142135623730951,3.0,3.0,0.0,4.0,4.0,1.4142135623730951,1.333333333333333,1.333333333333333,13.199326582148887,9.61111111111111,9.61111111111111,6.521095870942604,10.944444444444443,10.944444444444443,19.72042245309149,59.375,59.375,4.419417382415922,67.10069444444444,67.10069444444444,30.813160082955456,66.66666666666666,66.66666666666666,23.570226039551585,2.0
10312,11.5,11.5,2.1213203435596424,2.0,2.0,0.0,1.5,1.5,0.7071067811865476,3.5,3.5,0.7071067811865476,2.857142857142857,2.857142857142857,4.040610178208843,5.214285714285714,5.214285714285714,2.5253813613805267,8.071428571428571,8.071428571428571,1.5152288168283157,71.875,71.875,13.258252147247767,62.61160714285714,62.61160714285714,2.367545026294238,58.333333333333336,58.333333333333336,11.785113019775796,2.0
10314,13.0,13.0,2.8284271247461903,2.5,2.5,0.7071067811865476,1.0,1.0,1.4142135623730951,3.5,3.5,2.1213203435596424,5.555555555555555,5.555555555555555,9.11382073529328,5.611111111111111,5.611111111111111,10.449466877534535,11.166666666666666,11.166666666666666,19.563287612827814,81.25,81.25,17.67766952966369,67.44791666666666,67.44791666666666,30.56763689504346,58.33333333333333,58.33333333333333,35.35533905932737,2.0
10452,8.25,8.5,6.849574196011505,2.5,3.0,1.0,1.75,2.0,1.2583057392117916,4.25,4.0,1.5,1.7261904761904763,2.5,10.156624905866027,4.146825396825397,5.5,8.043630237794895,5.8730158730158735,8.0,18.15573290837253,51.5625,53.125,42.80983872507191,59.176587301587304,62.5,28.368332669332077,70.83333333333333,66.66666666666666,24.999999999999996,4.0
10453,11.26027397260274,11.0,3.304153099006503,2.0684931506849313,2.0,1.0182878757351,1.8493150684931507,2.0,1.0887203609527654,3.9178082191780823,4.0,1.4977151548046466,5.6779734724940205,6.857142857142857,6.410725157540278,5.126766688410524,5.714285714285714,5.853784527544155,10.804740160904544,12.444444444444445,11.765585839243796,70.37671232876713,68.75,20.65095686879065,66.88240650141336,69.44444444444444,18.38372787381843,65.29680365296804,66.66666666666667,24.961919246744117,73.0
10454,12.0,12.0,,3.0,3.0,,2.0,2.0,,5.0,5.0,,6.0,6.0,,2.0,2.0,,8.0,8.0,,75.0,75.0,,62.5,62.5,,83.33333333333333,83.33333333333333,,1.0
10455,12.0,11.0,1.7320508075688772,2.6666666666666665,3.0,0.5773502691896258,0.3333333333333333,0.0,0.5773502691896258,3.0,3.0,0.0,12.0,12.0,0.5714285714285712,12.761904761904761,12.0,1.8368858592367532,24.761904761904763,24.0,2.3790468565327236,75.0,68.75,10.825317547305483,88.69047619047619,87.5,3.7172607133323807,50.0,50.0,0.0,3.0
10456,11.0,11.0,5.0,1.6666666666666667,2.0,0.5773502691896258,1.0,1.0,1.0,2.6666666666666665,3.0,1.5275252316519465,-4.333333333333333,-3.0,8.082903768654761,1.6666666666666667,-1.0,4.618802153517007,-2.6666666666666665,-4.0,12.055427546683417,68.75,68.75,31.25,45.833333333333336,43.75,18.836605541692837,44.44444444444445,50.0,25.458753860865777,3.0
