2017 NAICS US Code,cluster_qing,name,,naics_code,cluster,,,,
313,6,Others,,,,,,,
314,6,Others,,,,,,,
315,6,Others,,,,,,,
316,6,Others,,,,,,,
321,6,Others,,,,,,,
322,6,Others,,,,,,,
323,6,Others,,,,,,,
324,6,Others,,,,,,,
325,6,Others,,,,,,,
326,6,Others,,,,,,,
327,6,Others,,,,,,,
331,6,Others,,,,,,,
332,6,Others,,,,,,,
333,6,Others,,,,,,,
334,6,Others,,,,,,,
335,6,Others,,,,,,,
336,6,Others,,,,,,,
337,6,Others,,,,,,,
339,6,Others,,,,,,,
423,6,Others,,,,,,,
424,6,Others,,,,,,,
425,6,Others,,,,,,,
481,6,Others,,,,,,,
482,6,Others,,,,,,,
483,6,Others,,,,,,,
484,6,Others,,,,,,,
485,6,Others,,,,,,,
486,6,Others,,,,,,,
487,6,Others,,,,,,,
488,6,Others,,,,,,,
491,6,Others,,,,,,,
492,6,Others,,,,,,,
493,6,Others,,,,,,,
511,6,Others,,,,,,,
512,6,Others,,,,,,,
515,6,Others,,,,,,,
517,6,Others,,,,,,,
518,6,Others,,,,,,,
519,6,Others,,,,,,,
521,6,Others,,,,,,,
522,6,Others,,,,,,,
523,6,Others,,,,,,,
524,6,Others,,,,,,,
525,6,Others,,,,,,,
531,6,Others,,,,,,,
532,6,Others,,,,,,,
533,6,Others,,,,,,,
541,6,Others,,,,,,,
551,6,Others,,,,,,,
561,6,Others,,,,,,,
562,6,Others,,,,,,,
721,6,Others,,,,,,,
811,6,Others,,,,,,,
812,6,Others,,,,,,,
813,6,Others,,,,,,,
814,6,Others,,,,,,,
921,6,Others,,,,,,,
922,6,Others,,,,,,,
923,6,Others,,,,,,,
924,6,Others,,,,,,,
925,6,Others,,,,,,,
926,6,Others,,,,,,,
927,6,Others,,,,,,,
928,6,Others,,,,,,,
