ZCTA,MODZCTA,ZCTA_str,zip_code,zcta,source,Value,Count
10472,10472,10472,10472.0,10472.0,geonames,10472 Pelham - Throgs Neck (Bronx),2.0
10473,10473,10473,10473.0,10473.0,geonames,10473 Pelham - Throgs Neck (Bronx),66.0
10474,10474,10474,10474.0,10474.0,geonames,10474 Hunts Point - Mott Haven (Bronx),1.0
10475,10475,10475,10475.0,10475.0,geonames,10475 Northeast Bronx (Bronx),3.0
11004,11004,11004,11004.0,11004.0,geonames,,
11005,11004,11005,11005.0,11005.0,geonames,,
11101,11101,11101,11101.0,11101.0,geonames,11101 Long Island City - Astoria (Queens),33.0
11102,11102,11102,11102.0,11102.0,geonames,11102 Long Island City - Astoria (Queens),1.0
11103,11103,11103,11103.0,11103.0,geonames,11103 Long Island City - Astoria (Queens),2.0
11104,11104,11104,11104.0,11104.0,geonames,11104 Long Island City - Astoria (Queens),1.0
11105,11105,11105,11105.0,11105.0,geonames,,
11106,11106,11106,11106.0,11106.0,geonames,11106 Long Island City - Astoria (Queens),1.0
11109,11109,11109,11109.0,11109.0,geonames,11109 Long Island City - Astoria (Queens),1.0
11201,11201,11201,11201.0,11201.0,geonames,11201 Downtown - Heights - Slope (Brooklyn),1.0
11203,11203,11203,11203.0,11203.0,geonames,11203 East Flatbush - Flatbush (Brooklyn),6.0
11204,11204,11204,11204.0,11204.0,geonames,,
11205,11205,11205,11205.0,11205.0,geonames,,
11206,11206,11206,11206.0,11206.0,geonames,11206 Williamsburg - Bushwick (Brooklyn),75.0
11207,11207,11207,11207.0,11207.0,geonames,11207 East New York (Brooklyn),6.0
11208,11208,11208,11208.0,11208.0,geonames,11208 East New York (Brooklyn),3.0
11209,11209,11209,11209.0,11209.0,geonames,11209 Bensonhurst - Bay Ridge (Brooklyn),6.0
11210,11210,11210,11210.0,11210.0,geonames,11210 East Flatbush - Flatbush (Brooklyn),3.0
11211,11211,11211,11211.0,11211.0,geonames,,
11212,11212,11212,11212.0,11212.0,geonames,11212 Bedford Stuyvesant - Crown Heights (Brooklyn),2.0
11213,11213,11213,11213.0,11213.0,geonames,11213 Bedford Stuyvesant - Crown Heights (Brooklyn),2.0
11214,11214,11214,11214.0,11214.0,geonames,,
11215,11215,11215,11215.0,11215.0,geonames,11215 Downtown - Heights - Slope (Brooklyn),1.0
11216,11216,11216,11216.0,11216.0,geonames,11216 Bedford Stuyvesant - Crown Heights (Brooklyn),3.0
